1,остановиться,от,тесноты,родительный,остановиться от тесноты
2,покраснеть,с,досады,родительный,покраснеть с досады
2,проехать,от,барок,родительный,проехать от барок
3,знать,с,радости,родительный,знать с радости
4,простудиться,по,неимению,дательный,простудиться по неимению
5,поехать,за,неимением,творительный,поехать за неимением
5,остаться,за,дождём,творительный,остаться за дождём
5,шить,за,скоростью,творительный,шить за скоростью
5,успевать,за,картами,творительный,успевать за картами
6,остаться,для,колики,родительный,остаться для колики
7,поссориться,из-за,столика,родительный,поссориться из-за столика
7,разгорячиться,из-за,фантазии,родительный,разгорячиться из-за фантазии
7,потерять,из-за,хлопотанья,родительный,потерять из-за хлопотанья
7,забывать,из-за,интересов,родительный,забывать из-за интересов
8,быть загнанным,для,тяжести,родительный,быть загнанным для тяжести
8,прибавить,для,возраста,родительный,прибавить для возраста
8,нарушить,для,причины,родительный,нарушить для причины
8,продать,для,причины,родительный,продать для причины
8,остерегаться,для,причины,родительный,остерегаться для причины
9,явить,на,поклонение,винительный,явить на поклонение
10,проникать,ради,льдов,родительный,проникать ради льдов
11,потерять,через,связь,винительный,потерять через связь
11,заболеть,через,нужду,винительный,заболеть через нужду
12,поссориться,за,манкировку,винительный,поссориться за манкировку
12,потерять,за,дружбу,винительный,потерять за дружбу
12,бояться,за,характер,винительный,бояться за характер
13,рассказать,в,извиненье,винительный,рассказать в извиненье
14,погрузиться,с,усталости,родительный,погрузиться с усталости
15,говаривать,в,поучение,винительный,говаривать в поучение
16,выбиться,из,мочи с крику,родительный,выбиться из мочи с крику
16,вскружиться,с,похвал,родительный,вскружиться с похвал
17,предлагать,на,рассмотрение,винительный,предлагать на рассмотрение
17,казнить,к,устрашению,дательный,казнить к устрашению
17,употреблять,к,исполнению,дательный,употреблять к исполнению
17,погибнуть,в,удовлетворение,винительный,погибнуть в удовлетворении
